"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"Roving About Carolina by John H. McCray on August 29, 1963 about Columbia, S. C., Nichols Rallied Ministers, and here and there."
"A letter from Lillian S. Calhoun to Mr. John H. McCray sent on September 3, 1963 about returning the enclosed material and terminating the Defender's arrangement with McCray as of August 24, 1963."
"An S. C. medic reports a $300,000 theft from the home of Dr. William S. Gandy, September 3, 1963."
"A document about how """"Slick Willie"""" lingered too long after """"talking"""" his way out of his jail cell."
"A document about Robert Curry was arrested, judged, and found guilty of stealing and selling 10 cameras, September 3, 1963."
"A document about how the desegragation in Orangeburg and Orangeburg County is going to be the toughest civil rights battle in South Carolina, September 3, 1963."
"A letter from James L. Hicks, Executive Editor, to Mr. John H. McCray sent on September 6, 1963 about the payment for McCray's column."
"A letter from John H. McCray to Mrs. Lillian S. Calhoun sent on September 7, 1963 about the termination of McCray's services with the Defender as of August 24."
"Roving About Carolina by John H. McCray on September 12, 1963 with Got 'Hot' Welcome, Could Use 'N.Y. Special,' and 'Doc Buzzard' Still Attracts."
"A letter from John H. McCray to Mr. James L. Hicks sent on September 12, 1963."
"A letter from Flora C. Dial to Mr. McCray sent on September 20, 1963."
"Reverand Clennon King of Albany, Georgia was not permitted to land at the Shannon Airport in Ireland."
"Charlayne Hunter's marriage to Walter Stovall surprised and startled her father, September 28, 1963."
"A letter from John H. McCray to Mr. G. Ambrose, President of the State - Record Company, sent on October 9, 1963 about McCray wishing to appy for reportorial and editorial work with the State - Record Company."
"A letter from John H. McCray to Mr. John h. Sengstacke sent on October 11, 1963 about the $400.oo due to McCray for seven weeks of work and two days out-of-town."
"A letter from Ambrose G. Hampton to Mr. John H. McCray sent on October 11, 1963 about McCray's application to the State - Record Company and how there is not an opening at the present time."
"A letter from Reverand James M. Hinton to Mr. John H. McCray sent on October 14, 1963 about a meeting of the Mayor's Committee at City Hall on October 17, 1963."
"An invoice for the payment on an account for $100.00, October 18, 1963."
"A letter from P. H. Jervay, Publisher, to Mr. John H. McCray, sent on October 21, 1963 about McCray's proposition."
"A letter from John H. McCray to Mr. P. R. Jervay, Publisher of the Carolinian, sent on October 23, 1963 about information about the suggested conference."
"A letter from R. B. Herbert to Mr. John A. McCray sent on October 25, 1963 about their correspondence about the Richards School."
"A letter from Orlie A. Phillips, Circulation Promotion Manager, to Mr. John McCray sent on January 3, 1962 about the new year."
"A letter from J. H. Chapelle, Morris College Business Manager, to the Pittsburgh Courier Publishing Co., Inc. sent on January 10, 1962."
"The Pittsburgh Courier Publishing Co. Inc. Statement for Morris College on January 10, 1962."
"A letter from Eugune A. R. Montgomery to Mr. Ashby G. Smith, President of the National Alliance of Postal Employees, sent on January 11, 1962."
"A document listing the clerks in charge, January 11, 1962."
"A letter from John H. McCray to Mr. Harold L. Keith sent on January 12, 1962."
"A letter from John H. McCray to Mr. Orlie Phillips sent on January 12, 1962."
"A letter from John H. McCray to Mr. A. I. Morris sent on January 13, 1962 about disposing of the Courier Shipment sent for the January 6, 1962 issue."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of January 13, 1962."
"A letter from Mr. A. Gaillard to Mr. John McCray sent on January 15, 1962."
"A copy of a letter from Orlie A. Phillips, Circulation Director, to Mr. H. J. Conyers sent on January 15, 1962."
"A letter from Charles R. Braxton to Mr. Eugune A. R. Montgomery sent on January 16, 1962."
"A letter from Orlie A. Phillips, Circulation Manager, to Mr. John H. McCray sent on January 16, 1962."
"A letter from Esther M. Moore to Mr. Orlie A. Phillips on January 18, 1962 about what groups  have bonus arrangements."
"A letter from John H. McCray to Mr. Lorenzo Hill sent on January 18, 1962."
"A letter from E. Black, Agent, to Mr. Arthur I. Morris, Circulation Department Pgh. Courier, sent on January 19, 1962."
"A letter from Arthur I. Morris to Mr. McCray sent on January 18, 1962 about the late arrival of the Jan. 6th issue."
"A letter from L. C. Moman, President District Three, N. A. P. E., to Mr. J. W. Askew, Regional Director, Federal Annex, sent January 19, 1962."
"A letter from L. C. Moman to Mr. Ashby Smith sent on January 19, 1968."
"A letter from G. Stanford to Mr. Roy Wilkins sent on January 19, 1962."
"A letter from G. Stanford to Mr. J. McCray sent on January 19, 1962."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of January 20, 1962."
"A letter from Eugene A. R. Montogomery to Mr. Ashby G. Smith sent on January 23, 1962."
"A letter from S. W. Askew, Regional Director, to Mr. L. C. Moman sent on January 23, 1962."
"A letter from John H. McCray to Mrs. A. T. Mims sent on January 25, 1962."
"A letter from John H. McCray to Mr. Orlie Phillips about the Courier School Bonus Plan sent on January 25, 1962"
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of January 27, 1962."
"A letter from Harold R. Boulware to Mr. John H. McCray about the Courier case sent on January 27, 1962."
"A letter from John H. McCray to Dr. Bowman sent on January 28, 1962."
"A letter from L. C. Moman to Mr. Ashby Smith sent on January 30, 1968."
"The Pittsburgh Courier Publishing Co. Inc. Statement of Paper Account for Mr. John H. McCray, January 1962."
"A letter from Orlie A. Phillips, Circulation Manager, to the Courier Distributors and Agents sent on February 2, 1962."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of February 3, 1962."
"North Carolina and South Carolina Account Information made on February 7, 1962."
"A letter from Orlie A. Phillips, Circulation Director, to Mr. John McCray sent on February 9, 1962."
"A letter from Mrs. William Darlington to the Lighthouse Publishing Company sent on February 10, 1962 with the new and old addresses."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of February 10, 1962."
"A letter from L. C. Moman to Mr. Charles R. Braxton sent on February 11, 1962."
"A circulation department memorandum made by Johnnie Lee Terry on February 13, 1962."
"A letter from Gladys McDaniels to Mr. John H. McCray sent on Febraury 16, 1962 about the success of individuals in spite of their of handicaps."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of February 17, 1962."
"A letter from John H. McCray to Mr. A. I. Morris sent on February 23, 1962 about accounts that require remittance envelops and rate cards."
"A letter from Robert A. Brooks to Mr. John H. McCray sent on February 26, 1962 about McCray being the speaker for the March 15th meeting of the Aiken County Improvement Association."
"A document detailing John H. McCray speaking at Friendship Baptist Church pn Thursday, March 15th, at 8pm for the Aiken County Improvement Association."
"A letter from Orlie A. Phillips, Circulation Director, to agents, distributors, and branch offices sent on February 26, 1962."
"The Pittsburgh Courier Publishing Co. Inc. Statement of Paper Account for Mr. John H. McCray, February 1962."
"A document detailing new agents made on March 1, 1962."
"A document detailing cut accounts and resumed accounts."
"A letter from Orlie A. Phillips to Mr. Edward L. Faggens sent on March 3, 1962 about an order and deposit for Fuller Product Merchandise."
"A letter from Orlie A. Phillips to Mr. Edward L. Faggens sent on March 3, 1962 about shipping the order of Orlie A. Phillips."
"A Letter to Mrs. McCray about substituting this message for the original."
"A document detailing the contents of a sample kit for Mrs. D. S. Alexander made on February 27, 1962."
"A letter from Mr. S. G. Alexander to Mr. Edward Feggans sent on February 27, 1962 about a list of Feggans products used in a sample list."
"A business card for City Wide Beauty & Barber Supply Co. on 217 Bowling Avenue in Columbia, S. C."
"A document detailing an order from the City Wide Beauty and Barber Supply to the Fuller Product Company."
"A document detailing the addresses of several businesses in different locations made by Henry B. McQueen."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of March 3, 1962."
"A document detailing that Mr. John H. McCray, a columnist for the Pittsburgh Courier, will address a public mass meeting at the Friendship Baptist Church in Aiken, S. C. on March 15, 1962."
"A letter from John H. McCray to Mr. Orlie A. Phillips sent on March 10, 1962 containing the weekly report, week ending March 10, 1962."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of March 10, 1962."
"A letter from John H. McCray to Mr. A. I. Morris and MR. Phillips containing the  financial summary of the week ending March 10, 1962."
"A letter from John H. McCray to Mr. Orlie A. Phillips with copies sent to Mr. Prattie and Mr. Morris on March 12, 1962."
"A letter from John H. McCray to Mr. Sawyer sent on March 13, 1962."
"A letter from Edward L. Feggans to Mr. Phillips sent on March 15, 1962about orders and information from customers."
"The Pittsburgh Courier Distributor's Weekly Report Sheet for the week of March 17, 1962."
"A letter from Mr. O. C. D. McNeil to Mr. John McCray sent on March 18, 1962."
"A letter from Miss Miriam Bacet to Mr. McCray."
"A letter from Orlie A. Phillips to Mrs. Robert L. Yann and Mr. P. L. Prattis sent on March 21, 1962."
"A letter from Orlie A. Phillips, Circulation Director, to Reverand McTear sent on March 23, 1962."
"A letter from Francis D. Edwards to Mr. John H. McCray sent on March 25, 1962."
"A letter from John H. McCray to Mr. A. I. Morris sent on March 31, 1962 about a new account that starts on April 7."
"A letter from John H. McCray to Mr. P. L. Prattis sent on March 31, 1996."
"A Weekly City Report for The Afro-American Company with 22 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company with no information."
"A Weekly City Report for The Afro-American Company for August 13 - August 20."
"A Weekly City Report for The Afro-American Company with 21 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company with 7 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company for July 30 - August 6."
"A Weekly City Report for The Afro-American Company with four names and the number of papers delivered, returned and sold by only Taylor."
"A Weekly City Report for The Afro-American Company for July 16 - July 23 with 21 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company with 8 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company with 4 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company for May 21 - May 28 with 21 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company with 10 names and the number of papers delivered, returned and sold."
"Carrier prospects for Courier District One for the Afro-American Company."
"A Weekly City Report for The Afro-American Company for the week of August 23 with 21 names and the number of papers delivered, returned and sold."
"A Weekly City Report for The Afro-American Company."
"A business card for Afro-American Life Insurance Co. District Office on 181 W. Washington Street in Athens, Georgia."
"A booklet for the Afro-American write your own check contest."
"A Weekly City Report for The Afro-American Company with 18 names and the number of papers delivered, returned and sold."
"The paper-lay during the Teacher's Association with names and addresses."
"An Afro-American Newspapers list of names and addresses of people and businesses."
"A letter from Arthur Evans, National Circulation Manager, Afro-American Newspapers to Parent congratulating their sons future career as an AFRO Agent."
"A letter from Arthur Evans, National Circulation Manager, Afro-American Newspapers to an Afro Salesmen about the customers and earning of Afro Carriers."
"A blank application to become an agent for The Afro-American Newspapers."
"A letter from Arthur Evans, National Circulation Manager, Afro American Newspapers."
"A letter from The Afro-American Company to an AFRO Carrier about 7 timely tips to help you collect."
"An advertising order for The Afro-American Newspapers."
"a blank agent's weekly report to the Afro-American."
"An Afro-American subscription blank."
"A list of the books of the New Testament made by Afro-American Newspapers."
"An agent application for the Afro-American by Mr. James Pressly."
"A booklet for the Afro-American Write your own check contest."
"A torn letter from John H. McCray about the work the receiver did in Holly Hill and how Mr. McCray can help."
"The report and average for 1954 and 1955."
"An Afro-American agent application blank for Mrs. G. Graves Moore."
"The carrier's route book for Thomas McCray."
"A business card for John H. McCray, the editor of S. C. Afro-American, with a name and address written on it."
"The Afro-American Company City Weekly Report with 36 names and the number of papers delivered, returned and sold."
"A letter from Mr. John H. McCray, Sr. to parents about welcoming their son into their family of Carriers."
"A letter from the Afro-American Co. to a carrier about welcoming them into their family of Afro American carriers."
"The Afro-American Carrier Bulletin and a letter from circulation to a carrier about the carrier who lets stops rob him of route profits."
"How to make money on an Afro newspaper route."
"The Afro-American Newspapers price list for the 11 cent rate."
"A blank weekly report for the Afro-American."
"The Afro-American Newspaper price list at the 10 1/2 cent carriers wholesale rate."
"A list of names, states, and numbers."
"Two plans for the lettering on the Afro American Little League baseball uniforms."
"A business card for Arthur M. Carter, Managing Editor, Afro-American Newspapers, Baltimore, MD."
"Name, address, and payment book of the Newspaper Boys of America, Inc."
"An advertisement for an insurance policy from the Pilgrim Health and Life Insurance Co."
"A document with notes about the number of papers sent, the price, and the number returned."
"A blank document with the name and address of the Palmetto Times."
"The fifth page of a letter about the controversy and success of lunchcounters."
"The second page of a letter from John H. McCray about the connection between Davis Lee and the Pittsburgh Courier."
"The second page of a letter from Lillian S. Calhoun about an interview with Dr. Atwood."
"The Need for Changing by John H. McCray about the for changing how the treatment of and interactions with colored children."
"A letter about an advertisement for Evans' Automatic Laundry with a business card for Evan's Automatic Laundry attached."
"A City that Sleeps Too Late by Charles C. Mason about the presence of an old slave market building."
"A letter about including an advertisement for Alben Restaurant."
"A business card for National Press Inc."
"A list of cities and towns without agents in South Carolina."
"A letter about when Reverand Lucy will be in Greenville, S. C. with a newspaper clipping."
"An advertisement design for the Harlem Drive In Theatre."
"The Need for Changing, 'Luckiest' People On Earth, by John H. McCray."
"Advertisement designs for Ridgewood Dry Cleaners, Patterson's School of Barbering, Humphries-Nelson-Sullivan-Funeral Home, Dolly Dimple Beauty, and Cardell's Beauty Salon."
"Advertisement designs for Billy's Beauty Salon, Mac's Lunch, Daniels Music Studio, Service Station, Elizabeth Laundromat, Toast of the Town, Mr. & Mrs. Paul Seymour, Medical Profession of Columbia Hospital, Allan Restaurant and College Inn Restaurant."
"A list of names of Who's Who in Negro America."
"A list of characters, compliments, and patrons."
"An advertisement design for First American Appliance & T. V. Supermart."
"A letter of congratulations to Mrs. Alberta Stevenson."
